Basis,Line,Product,,Rate,Yield,Uptime
Run Time,Line 61,1015675,1.0,36.12905442484243,49.760921169253514,33.90460476976151
Run Time,Line 61,1015676,0.5,95.17472222222223,95.17472222222223,95.17472222222223
Run Time,Line 61,1015676,0.51,95.1927659787865,95.33658399470899,96.46422843114779
Run Time,Line 61,1015676,0.52,95.20148115205328,95.49844576719576,98.16611479825768
Run Time,Line 61,1015676,0.53,95.210052306496,95.72679985650359,101.04623018875135
Run Time,Line 61,1015676,0.54,95.21673938394936,96.02164626263244,101.87753622191656
Run Time,Line 61,1015676,0.55,95.22974471110025,96.31649266876131,102.44046786642214
Run Time,Line 61,1015676,0.56,95.24722406537231,97.96910809256848,104.48927722375058
Run Time,Line 61,1015676,0.57,95.2510999280485,99.62172351637564,105.55622906159253
Run Time,Line 61,1015676,0.58,95.25290551725536,100.88835136517032,106.6820923506037
Run Time,Line 61,1015676,0.59,95.26220912257163,101.76899163895251,107.95850712593611
Run Time,Line 61,1015676,0.6,95.281107448928,102.64963191273466,108.75708457511844
Run Time,Line 61,1015676,0.61,95.2988182352089,103.10458873007644,109.78476211218097
Run Time,Line 61,1015676,0.62,95.30515791542338,103.55954554741818,110.13823081919608
Run Time,Line 61,1015676,0.63,95.31508413077522,103.92206283484235,110.76661963166744
Run Time,Line 61,1015676,0.64,95.32745252770805,104.19214059234889,111.04808545392024
Run Time,Line 61,1015676,0.65,95.33494246971507,104.46221834985545,111.3099141257833
Run Time,Line 61,1015676,0.66,95.357427902905,104.51790592949048,111.85320861989914
Run Time,Line 61,1015676,0.67,95.3685235530964,104.57359350912553,112.92670617453769
Run Time,Line 61,1015676,0.68,95.36955450161,105.27602917526289,113.60746072138164
Run Time,Line 61,1015676,0.69,95.38020250368452,106.62521292790254,114.15730093229406
Run Time,Line 61,1015676,0.7,95.39531877973955,107.97439668054223,114.22275810025981
Run Time,Line 61,1015676,0.71,95.39531877973955,110.2452434459166,114.622046824851
Run Time,Line 61,1015676,0.72,95.39531877973955,112.51609021129102,115.40098712364359
Run Time,Line 61,1015676,0.73,95.39531877973955,113.8836923755798,115.8722787329971
Run Time,Line 61,1015676,0.74,95.39531877973955,114.34804993878299,116.75726906219178
Run Time,Line 61,1015676,0.75,95.39531877973955,114.81240750198617,117.26651641066789
Run Time,Line 61,1015676,0.76,95.39531877973955,117.86406626347686,117.82290233837689
Run Time,Line 61,1015676,0.77,95.39531877973955,120.91572502496759,117.82290233837689
Run Time,Line 61,1015676,0.78,95.45428277368731,122.73854604815237,117.82290233837689
Run Time,Line 61,1015676,0.79,95.46551401062972,123.33252933303123,117.82290233837689
Run Time,Line 61,1015676,0.8,95.46551401062972,123.9265126179101,117.82290233837689
Run Time,Line 61,1015676,0.81,95.46551401062972,124.81666938643382,117.82290233837689
Run Time,Line 61,1015676,0.82,95.46551401062972,125.7068261549575,117.82290233837689
Run Time,Line 61,1015676,0.83,95.46551401062972,126.26568303260309,117.82290233837689
Run Time,Line 61,1015676,0.84,95.46551401062972,126.49324001937057,117.82290233837689
Run Time,Line 61,1015676,0.85,95.46551401062972,126.72079700613806,117.82290233837689
Run Time,Line 61,1015676,0.86,95.46691572506872,127.0660068958256,117.82290233837689
Run Time,Line 61,1015676,0.87,95.50199800926212,127.41121678551318,117.82290233837689
Run Time,Line 61,1015676,0.88,95.53570924151991,129.19199241621808,117.82290233837689
Run Time,Line 61,1015676,0.89,95.53570924151991,132.40833378794036,117.82290233837689
Run Time,Line 61,1015676,0.9,95.58927107682544,135.62467515966267,117.82290233837689
Run Time,Line 61,1015676,0.91,95.78168822835907,136.25340324887745,117.82290233837689
Run Time,Line 61,1015676,0.92,95.88993336953499,136.88213133809225,117.82290233837689
Run Time,Line 61,1015676,0.93,95.91218645290122,137.30654604744512,117.82290233837689
Run Time,Line 61,1015676,0.94,97.82993228327327,137.52664737693607,117.82290233837689
Run Time,Line 61,1015676,0.95,108.67112053483251,137.74674870642704,117.82290233837689
Run Time,Line 61,1015676,0.96,119.22299550031981,138.30452603393545,117.82290233837689
Run Time,Line 61,1015676,0.97,124.17792943305331,138.86230336144385,117.82290233837689
Run Time,Line 61,1015676,0.98,126.35141560230406,139.22719541099733,117.82290233837689
Run Time,Line 61,1015676,0.99,126.47271296128226,139.3992021825958,117.82290233837689
Run Time,Line 61,1015676,1.0,126.51988415644045,139.57120895419428,117.82290233837689
Run Time,Line 61,1016284,0.5,276.1341666666667,276.1341666666667,276.1341666666667
Run Time,Line 61,1016284,0.51,276.32023149941887,276.9409233986128,276.6642671611403
Run Time,Line 61,1016284,0.52,276.3411637931035,277.747680130559,277.98148657165024
Run Time,Line 61,1016284,0.53,276.3411637931035,278.5544368625051,280.02157029280596
Run Time,Line 61,1016284,0.54,276.3411637931035,279.3611935944513,281.5154898681405
Run Time,Line 61,1016284,0.55,276.3411637931035,280.16795032639743,282.5596272057398
Run Time,Line 61,1016284,0.56,276.4441288245659,280.97470705834354,283.81259201085913
Run Time,Line 61,1016284,0.57,276.5481609195403,281.7814637902897,285.88480303471016
Run Time,Line 61,1016284,0.58,278.8161422464924,282.5882205222359,286.83255846422344
Run Time,Line 61,1016284,0.59,281.56568310232643,283.394977254182,289.14572425828976
Run Time,Line 61,1016284,0.6,283.9279180305816,284.20173398612815,289.14572425828976
Run Time,Line 61,1016284,0.61,284.4681579037215,284.6594683632426,289.14572425828976
Run Time,Line 61,1016284,0.62,284.62104885057477,285.11720274035713,289.14572425828976
Run Time,Line 61,1016284,0.63,284.7528400341315,285.57493711747156,289.14572425828976
Run Time,Line 61,1016284,0.64,284.93441919354893,286.0326714945861,289.14572425828976
Run Time,Line 61,1016284,0.65,285.31609012489304,286.4904058717006,289.14572425828976
Run Time,Line 61,1016284,0.66,285.6657322540766,286.94814024881504,289.14572425828976
Run Time,Line 61,1016284,0.67,285.70826726360366,287.4058746259296,289.14572425828976
Run Time,Line 61,1016284,0.68,285.8284356834212,287.863609003044,289.14572425828976
Run Time,Line 61,1016284,0.69,285.9826290373501,288.32134338015857,289.14572425828976
Run Time,Line 61,1016284,0.7,286.028015361322,288.779077757273,289.14572425828976
Run Time,Line 61,1016284,0.71,286.2123336617009,289.2368121343875,289.14572425828976
Run Time,Line 61,1016284,0.72,286.3145569628847,289.694546511502,289.14572425828976
Run Time,Line 61,1016284,0.73,286.374984453312,290.1522808886165,289.14572425828976
Run Time,Line 61,1016284,0.74,286.4794413539609,290.61001526573096,289.14572425828976
Run Time,Line 61,1016284,0.75,286.6114058355438,291.06774964284546,289.14572425828976
Run Time,Line 61,1016284,0.76,286.69102011494255,291.52548401995995,289.14572425828976
Run Time,Line 61,1016284,0.77,286.69102011494255,291.98321839707444,289.14572425828976
Run Time,Line 61,1016284,0.78,286.69102011494255,292.44095277418893,289.14572425828976
Run Time,Line 61,1016284,0.79,286.8762775107584,292.8986871513034,289.14572425828976
Run Time,Line 61,1016284,0.8,286.89801724137936,293.3564215284179,289.14572425828976
Run Time,Line 61,1016284,0.81,286.89801724137936,293.49177462560715,289.14572425828976
Run Time,Line 61,1016284,0.82,286.89801724137936,293.62712772279644,289.14572425828976
Run Time,Line 61,1016284,0.83,286.89801724137936,293.7624808199857,289.14572425828976
Run Time,Line 61,1016284,0.84,287.1050143678162,293.897833917175,289.14572425828976
Run Time,Line 61,1016284,0.85,287.1050143678162,294.0331870143642,289.14572425828976
Run Time,Line 61,1016284,0.86,287.1050143678162,294.16854011155345,289.14572425828976
Run Time,Line 61,1016284,0.87,287.2799323584282,294.3038932087427,289.14572425828976
Run Time,Line 61,1016284,0.88,287.8115837026779,294.439246305932,289.14572425828976
Run Time,Line 61,1016284,0.89,289.4744290736566,294.5745994031212,289.14572425828976
Run Time,Line 61,1016284,0.9,289.99767944894796,294.7099525003105,289.14572425828976
Run Time,Line 61,1016284,0.91,290.4778552482972,294.84530559749976,289.14572425828976
Run Time,Line 61,1016284,0.92,291.4543208684559,294.980658694689,289.14572425828976
Run Time,Line 61,1016284,0.93,292.0095108477744,295.1160117918783,289.14572425828976
Run Time,Line 61,1016284,0.94,292.2799425287357,295.25136488906753,289.14572425828976
Run Time,Line 61,1016284,0.95,292.4869396551725,295.3867179862568,289.14572425828976
Run Time,Line 61,1016284,0.96,292.4869396551725,295.52207108344606,289.14572425828976
Run Time,Line 61,1016284,0.97,292.4869396551725,295.6574241806353,289.14572425828976
Run Time,Line 61,1016284,0.98,293.4831181145167,295.7927772778246,289.14572425828976
Run Time,Line 61,1016284,0.99,295.8860715724228,295.9281303750139,289.14572425828976
Run Time,Line 61,1016284,1.0,434.21097222222227,296.06348347220313,289.14572425828976
Run Time,Line 61,1016285,0.5,58.16194444444444,,58.16194444444445
Run Time,Line 61,1016285,0.51,58.16302695334406,,59.229054564043196
Run Time,Line 61,1016285,0.52,58.165386703759175,,64.32872616512347
Run Time,Line 61,1016285,0.53,58.17657347611522,,67.91688747681559
Run Time,Line 61,1016285,0.54,58.20576718325224,,76.11827903215183
Run Time,Line 61,1016285,0.55,58.23339534646149,,88.43982355283397
Run Time,Line 61,1016285,0.56,58.23339534646149,,100.6411668132716
Run Time,Line 61,1016285,0.57,58.23339534646149,,102.27939491512345
Run Time,Line 61,1016285,0.58,58.23339534646149,,103.6680940274132
Run Time,Line 61,1016285,0.59,58.26690445420362,,106.27316904564013
Run Time,Line 61,1016285,0.6,58.2786779244914,,113.0926697530864
Run Time,Line 61,1016285,0.61,58.2786779244914,,118.12529355709873
Run Time,Line 61,1016285,0.62,58.2786779244914,,121.52938291666668
Run Time,Line 61,1016285,0.63,58.323072293542666,,126.06520677854938
Run Time,Line 61,1016285,0.64,58.53118749230078,,127.95304655864197
Run Time,Line 61,1016285,0.65,58.657482452411244,,128.31575090663583
Run Time,Line 61,1016285,0.66,58.87958852449254,,128.71722988425924
Run Time,Line 61,1016285,0.67,58.9688796929554,,132.00580315972223
Run Time,Line 61,1016285,0.68,59.03861430585503,,133.90333659722222
Run Time,Line 61,1016285,0.69,59.19315313317812,,134.45668287422836
Run Time,Line 61,1016285,0.7,59.43261601448972,,136.3978377700617
Run Time,Line 61,1016285,0.71,59.66092076190047,,137.243609378858
Run Time,Line 61,1016285,0.72,59.75354103376126,,138.47547410206715
Run Time,Line 61,1016285,0.73,59.770616851654026,,139.75617986923325
Run Time,Line 61,1016285,0.74,59.99056436274358,,140.76321482253084
Run Time,Line 61,1016285,0.75,60.13509643502837,,141.18408111496913
Run Time,Line 61,1016285,0.76,60.18552131200742,,142.03146833333335
Run Time,Line 61,1016285,0.77,60.23768554874104,,143.48551694444444
Run Time,Line 61,1016285,0.78,60.24577697637658,,145.23037527777777
Run Time,Line 61,1016285,0.79,60.26017034441129,,145.4048611111111
Run Time,Line 61,1016285,0.8,60.30235547832877,,145.4048611111111
Run Time,Line 61,1016285,0.81,60.31433761788433,,145.4048611111111
Run Time,Line 61,1016285,0.82,60.334284608035574,,145.4048611111111
Run Time,Line 61,1016285,0.83,60.353408985700476,,145.4048611111111
Run Time,Line 61,1016285,0.84,60.357270472018705,,145.4048611111111
Run Time,Line 61,1016285,0.85,60.36620477167015,,145.4048611111111
Run Time,Line 61,1016285,0.86,60.40514778877587,,145.4048611111111
Run Time,Line 61,1016285,0.87,60.406959091897065,,145.4048611111111
Run Time,Line 61,1016285,0.88,60.406959091897065,,145.4048611111111
Run Time,Line 61,1016285,0.89,60.406959091897065,,145.4048611111111
Run Time,Line 61,1016285,0.9,60.406959091897065,,145.4048611111111
Run Time,Line 61,1016285,0.91,60.41264283617392,,145.4048611111111
Run Time,Line 61,1016285,0.92,60.42988294167852,,145.4048611111111
Run Time,Line 61,1016285,0.93,60.43750322158355,,145.4048611111111
Run Time,Line 61,1016285,0.94,60.449911872721906,,145.4048611111111
Run Time,Line 61,1016285,0.95,60.45224166992697,,145.4048611111111
Run Time,Line 61,1016285,0.96,60.45224166992697,,145.4048611111111
Run Time,Line 61,1016285,0.97,60.50383370412005,,145.4048611111111
Run Time,Line 61,1016285,0.98,60.64211813190211,,145.4048611111111
Run Time,Line 61,1016285,0.99,60.843030318325084,,145.4048611111111
Run Time,Line 61,1016285,1.0,61.018273895300815,,145.4048611111111
Run Time,Line 61,1016286,0.5,31.82222222222222,,31.82222222222222
Run Time,Line 61,1016286,0.51,31.83525984328323,,32.96516245439469
Run Time,Line 61,1016286,0.52,31.83525984328323,,33.99902258684306
Run Time,Line 61,1016286,0.53,31.83525984328323,,34.89263687678903
Run Time,Line 61,1016286,0.54,31.83525984328323,,35.49911471654349
Run Time,Line 61,1016286,0.55,31.83525984328323,,36.11584742951907
Run Time,Line 61,1016286,0.56,31.835830702278642,,36.84538374792703
Run Time,Line 61,1016286,0.57,31.844250872461043,,37.091602255389716
Run Time,Line 61,1016286,0.58,31.852418923440435,,37.30894328358208
Run Time,Line 61,1016286,0.59,31.860162955760217,,38.0992742951907
Run Time,Line 61,1016286,0.6,31.86265679667676,,38.77561525704809
Run Time,Line 61,1016286,0.61,31.86265679667676,,39.350125107794355
Run Time,Line 61,1016286,0.62,31.973888427454497,,39.42307873963515
Run Time,Line 61,1016286,0.63,32.078853337630754,,40.58425737976783
Run Time,Line 61,1016286,0.64,32.163597700263566,,42.833661028192374
Run Time,Line 61,1016286,0.65,32.22787044288242,,44.7980895522388
Run Time,Line 61,1016286,0.66,32.27810550320599,,46.53377804311774
Run Time,Line 61,1016286,0.67,33.030953932247115,,47.91989704809287
Run Time,Line 61,1016286,0.68,33.71161382192752,,50.521149983416265
Run Time,Line 61,1016286,0.69,33.79799914946034,,53.18699728026532
Run Time,Line 61,1016286,0.7,33.888377721557,,55.205381094527354
Run Time,Line 61,1016286,0.71,33.98261643006537,,56.897753366500815
Run Time,Line 61,1016286,0.72,34.03458370322267,,58.35834587064676
Run Time,Line 61,1016286,0.73,34.114345610733544,,59.23378945273631
Run Time,Line 61,1016286,0.74,34.47254403124239,,60.24602109452736
Run Time,Line 61,1016286,0.75,34.71883761944987,,61.36464344941956
Run Time,Line 61,1016286,0.76,34.81294063572744,,61.64429903814262
Run Time,Line 61,1016286,0.77,34.85086920659334,,62.28568305140961
Run Time,Line 61,1016286,0.78,34.870344519693425,,63.39214646766169
Run Time,Line 61,1016286,0.79,34.959612384322384,,63.679401393034816
Run Time,Line 61,1016286,0.8,35.023809808306595,,64.45377379767828
Run Time,Line 61,1016286,0.81,35.03911987303353,,66.55727018242123
Run Time,Line 61,1016286,0.82,35.04868082903541,,67.58470049751243
Run Time,Line 61,1016286,0.83,35.055064646005036,,68.1599702819237
Run Time,Line 61,1016286,0.84,35.0771627866218,,68.33019542288557
Run Time,Line 61,1016286,0.85,35.09478778343539,,68.39402985074626
Run Time,Line 61,1016286,0.86,35.09682216471038,,68.39402985074626
Run Time,Line 61,1016286,0.87,35.09926509309111,,68.39402985074626
Run Time,Line 61,1016286,0.88,35.10202990707031,,68.39402985074626
Run Time,Line 61,1016286,0.89,35.10521365424267,,68.39402985074626
Run Time,Line 61,1016286,0.9,35.118473617156496,,68.39402985074626
Run Time,Line 61,1016286,0.91,35.18078503365109,,68.39402985074626
Run Time,Line 61,1016286,0.92,35.218832927869116,,68.39402985074626
Run Time,Line 61,1016286,0.93,35.230017636709476,,68.39402985074626
Run Time,Line 61,1016286,0.94,35.23248206408109,,68.39402985074626
Run Time,Line 61,1016286,0.95,35.23385191175077,,68.39402985074626
Run Time,Line 61,1016286,0.96,35.25001611425295,,68.39402985074626
Run Time,Line 61,1016286,0.97,35.28017212205409,,68.39402985074626
Run Time,Line 61,1016286,0.98,35.33222834684489,,68.39402985074626
Run Time,Line 61,1016286,0.99,41.774708992326325,,68.39402985074626
Run Time,Line 61,1016286,1.0,51.02274182250133,,68.39402985074626
Run Time,Line 61,1016287,0.5,145.43944444444443,,145.43944444444443
Run Time,Line 61,1016287,0.51,145.50461045690253,,146.34495046818768
Run Time,Line 61,1016287,0.52,145.53695958972642,,146.7465449476444
Run Time,Line 61,1016287,0.53,145.5614157480726,,148.32180142491896
Run Time,Line 61,1016287,0.54,145.57412539995914,,148.52686187568193
Run Time,Line 61,1016287,0.55,145.6030466315271,,148.57290455485528
Run Time,Line 61,1016287,0.56,145.62228795504174,,149.07596345693486
Run Time,Line 61,1016287,0.57,145.63769132287183,,150.25090441806307
Run Time,Line 61,1016287,0.58,145.64546638672326,,150.42569607048054
Run Time,Line 61,1016287,0.59,145.6947334600028,,150.7395122793768
Run Time,Line 61,1016287,0.6,145.72822615217916,,151.1564104418063
Run Time,Line 61,1016287,0.61,145.75143862340875,,152.00052622665166
Run Time,Line 61,1016287,0.62,145.75939330390068,,153.4346704186819
Run Time,Line 61,1016287,0.63,145.76675005483867,,153.4755972446138
Run Time,Line 61,1016287,0.64,145.77565163433655,,153.4755972446138
Run Time,Line 61,1016287,0.65,145.78708797276175,,153.4755972446138
Run Time,Line 61,1016287,0.66,145.80682944006557,,153.4755972446138
Run Time,Line 61,1016287,0.67,145.8231706240148,,153.4755972446138
Run Time,Line 61,1016287,0.68,145.89539910131745,,153.4755972446138
Run Time,Line 61,1016287,0.69,145.9232688601499,,153.4755972446138
Run Time,Line 61,1016287,0.7,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.71,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.72,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.73,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.74,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.75,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.76,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.77,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.78,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.79,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.8,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.81,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.82,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.83,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.84,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.85,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.86,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.87,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.88,145.9325200929878,,153.4755972446138
Run Time,Line 61,1016287,0.89,146.02659952872992,,153.4755972446138
Run Time,Line 61,1016287,0.9,146.04191478571119,,153.4755972446138
Run Time,Line 61,1016287,0.91,146.04191478571119,,153.4755972446138
Run Time,Line 61,1016287,0.92,146.04191478571119,,153.4755972446138
Run Time,Line 61,1016287,0.93,146.04191478571119,,153.4755972446138
Run Time,Line 61,1016287,0.94,146.05440333370996,,153.4755972446138
Run Time,Line 61,1016287,0.95,146.1513094784346,,153.4755972446138
Run Time,Line 61,1016287,0.96,146.19170271057033,,153.4755972446138
Run Time,Line 61,1016287,0.97,146.34532929406961,,153.4755972446138
Run Time,Line 61,1016287,0.98,146.49305405349514,,153.4755972446138
Run Time,Line 61,1016287,0.99,146.5886450009714,,153.4755972446138
Run Time,Line 61,1016287,1.0,147.62973095679325,,153.4755972446138
Run Time,Line 61,1016359 A,0.5,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.51,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.52,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.53,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.54,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.55,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.56,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.57,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.58,59.30555555555555,,59.30555555555556
Run Time,Line 61,1016359 A,0.59,59.311457017936924,,59.30555555555556
Run Time,Line 61,1016359 A,0.6,59.325227096826765,,59.30555555555556
Run Time,Line 61,1016359 A,0.61,59.35180093328084,,59.30555555555556
Run Time,Line 61,1016359 A,0.62,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.63,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.64,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.65,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.66,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.67,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.68,59.36318972033258,,59.30555555555556
Run Time,Line 61,1016359 A,0.69,59.38047996976568,,59.30555555555556
Run Time,Line 61,1016359 A,0.7,59.4208238851096,,59.30555555555556
Run Time,Line 61,1016359 A,0.71,59.4208238851096,,59.30555555555556
Run Time,Line 61,1016359 A,0.72,59.4208238851096,,59.30555555555556
Run Time,Line 61,1016359 A,0.73,59.4208238851096,,59.30555555555556
Run Time,Line 61,1016359 A,0.74,59.4208238851096,,59.30555555555556
Run Time,Line 61,1016359 A,0.75,59.529074224063926,,59.30555555555556
Run Time,Line 61,1016359 A,0.76,59.663185425168926,,59.30555555555556
Run Time,Line 61,1016359 A,0.77,59.75369844269639,,59.30555555555556
Run Time,Line 61,1016359 A,0.78,61.01318181904725,,59.30555555555556
Run Time,Line 61,1016359 A,0.79,62.31740073490368,,59.30555555555556
Run Time,Line 61,1016359 A,0.8,63.4214958459179,,59.30555555555556
Run Time,Line 61,1016359 A,0.81,71.64505627071932,,59.30555555555556
Run Time,Line 61,1016359 A,0.82,75.58381083828553,,59.30555555555556
Run Time,Line 61,1016359 A,0.83,76.21298387402383,,59.30555555555556
Run Time,Line 61,1016359 A,0.84,76.26629407635285,,59.30555555555556
Run Time,Line 61,1016359 A,0.85,76.51453065586303,,59.30555555555556
Run Time,Line 61,1016359 A,0.86,76.75000080821614,,59.30555555555556
Run Time,Line 61,1016359 A,0.87,76.75862851549546,,59.30555555555556
Run Time,Line 61,1016359 A,0.88,76.77198819063392,,59.30555555555556
Run Time,Line 61,1016359 A,0.89,76.81124381178724,,59.30555555555556
Run Time,Line 61,1016359 A,0.9,76.88397581254725,,59.30555555555556
Run Time,Line 61,1016359 A,0.91,76.88397581254725,,59.30555555555556
Run Time,Line 61,1016359 A,0.92,76.88397581254725,,59.30555555555556
Run Time,Line 61,1016359 A,0.93,76.88397581254725,,59.30555555555556
Run Time,Line 61,1016359 A,0.94,76.88397581254725,,59.30555555555556
Run Time,Line 61,1016359 A,0.95,76.91279289493575,,59.30555555555556
Run Time,Line 61,1016359 A,0.96,76.94160997732428,,59.30555555555556
Run Time,Line 61,1016359 A,0.97,76.94160997732428,,59.30555555555556
Run Time,Line 61,1016359 A,0.98,76.97619047619048,,59.30555555555556
Run Time,Line 61,1016359 A,0.99,77.06396255605894,,59.30555555555556
Run Time,Line 61,1016359 A,1.0,77.21497218862679,,59.30555555555556
Run Time,Line 61,1016691,0.5,17.46055555555556,17.46055555555556,
Run Time,Line 61,1016691,0.51,17.463321761121826,17.47665497811307,
Run Time,Line 61,1016691,0.52,17.466087966688093,17.49275440067058,
Run Time,Line 61,1016691,0.53,17.46885417225436,17.508853823228094,
Run Time,Line 61,1016691,0.54,17.471620377820628,17.524953245785603,
Run Time,Line 61,1016691,0.55,17.474386583386895,17.541052668343116,
Run Time,Line 61,1016691,0.56,17.475391270911196,17.55715209090063,
Run Time,Line 61,1016691,0.57,17.4763959584355,17.57325151345814,
Run Time,Line 61,1016691,0.58,17.4774006459598,17.58935093601565,
Run Time,Line 61,1016691,0.59,17.478405333484105,17.60545035857316,
Run Time,Line 61,1016691,0.6,17.479410021008405,17.621549781130675,
Run Time,Line 61,1016691,0.61,17.479410021008405,17.625992188638524,
Run Time,Line 61,1016691,0.62,17.479410021008405,17.63043459614637,
Run Time,Line 61,1016691,0.63,17.479410021008405,17.634877003654218,
Run Time,Line 61,1016691,0.64,17.479410021008405,17.639319411162067,
Run Time,Line 61,1016691,0.65,17.479410021008405,17.643761818669915,
Run Time,Line 61,1016691,0.66,17.479410021008405,17.64820422617776,
Run Time,Line 61,1016691,0.67,17.479410021008405,17.65264663368561,
Run Time,Line 61,1016691,0.68,17.479410021008405,17.65708904119346,
Run Time,Line 61,1016691,0.69,17.479410021008405,17.661531448701304,
Run Time,Line 61,1016691,0.7,17.479410021008405,17.665973856209153,
Run Time,Line 61,1016691,0.71,17.479410021008405,17.978754204405142,
Run Time,Line 61,1016691,0.72,17.479410021008405,18.291534552601128,
Run Time,Line 61,1016691,0.73,17.479410021008405,18.604314900797117,
Run Time,Line 61,1016691,0.74,17.479410021008405,18.917095248993107,
Run Time,Line 61,1016691,0.75,17.479410021008405,19.229875597189096,
Run Time,Line 61,1016691,0.76,17.479410021008405,19.54265594538508,
Run Time,Line 61,1016691,0.77,17.479410021008405,19.855436293581068,
Run Time,Line 61,1016691,0.78,17.479410021008405,20.16821664177706,
Run Time,Line 61,1016691,0.79,17.479410021008405,20.480996989973047,
Run Time,Line 61,1016691,0.8,17.479410021008405,20.793777338169033,
Run Time,Line 61,1016691,0.81,17.479410021008405,20.859553572606103,
Run Time,Line 61,1016691,0.82,17.479410021008405,20.925329807043166,
Run Time,Line 61,1016691,0.83,17.479410021008405,20.99110604148023,
Run Time,Line 61,1016691,0.84,17.479410021008405,21.056882275917296,
Run Time,Line 61,1016691,0.85,17.479410021008405,21.12265851035436,
Run Time,Line 61,1016691,0.86,17.479410021008405,21.188434744791426,
Run Time,Line 61,1016691,0.87,17.479410021008405,21.254210979228493,
Run Time,Line 61,1016691,0.88,17.479410021008405,21.319987213665556,
Run Time,Line 61,1016691,0.89,17.479410021008405,21.385763448102622,
Run Time,Line 61,1016691,0.9,17.479410021008405,21.451539682539686,
Run Time,Line 61,1016691,0.91,17.48222474081855,21.46475418337082,
Run Time,Line 61,1016691,0.92,17.485039460628695,21.477968684201954,
Run Time,Line 61,1016691,0.93,17.48785418043884,21.491183185033083,
Run Time,Line 61,1016691,0.94,17.49066890024899,21.50439768586422,
Run Time,Line 61,1016691,0.95,17.493483620059134,21.517612186695356,
Run Time,Line 61,1016691,0.96,17.493483620059134,21.530826687526485,
Run Time,Line 61,1016691,0.97,17.493483620059134,21.54404118835762,
Run Time,Line 61,1016691,0.98,17.493483620059134,21.557255689188754,
Run Time,Line 61,1016691,0.99,17.493483620059134,21.570470190019883,
Run Time,Line 61,1016691,1.0,17.493483620059134,21.58368469085102,
Run Time,Line 61,1016779 C,0.5,40.35,40.35,40.35
Run Time,Line 61,1016779 C,0.51,40.3504364184178,40.35,40.38935966016363
Run Time,Line 61,1016779 C,0.52,40.35087342864721,40.41711018711019,40.57498489616111
Run Time,Line 61,1016779 C,0.53,40.35131260885259,40.53455301455302,40.99219729389553
Run Time,Line 61,1016779 C,0.54,40.351980901702866,40.65199584199584,41.12297293895532
Run Time,Line 61,1016779 C,0.55,40.35295467807969,40.77084559160031,41.18417086217747
Run Time,Line 61,1016779 C,0.56,40.35712379342782,40.89025811006943,41.3179937067338
Run Time,Line 61,1016779 C,0.57,40.36306809709331,41.00967062853855,41.62449118942732
Run Time,Line 61,1016779 C,0.58,40.36397478943454,41.026729559748425,42.07319131529263
Run Time,Line 61,1016779 C,0.59,40.36417588035724,41.026729559748425,42.12277455398735
Run Time,Line 61,1016779 C,0.6,40.3661189773748,41.026729559748425,42.155994892720116
Run Time,Line 61,1016779 C,0.61,40.37151486170537,41.10890659335455,42.21265627691615
Run Time,Line 61,1016779 C,0.62,40.38554271431845,41.191083626960676,42.31290434235368
Run Time,Line 61,1016779 C,0.63,40.392556640624996,41.267128962467204,42.42641252359975
