Basis,Line,Product,,Rate,Yield,Uptime
Net Quantity Produced,Line 32,1006537 B,0.84,68318.27215501686,72244.91571373005,
Net Quantity Produced,Line 32,1006537 B,0.85,68367.40573289341,72722.14899088121,
Net Quantity Produced,Line 32,1006537 B,0.86,68416.53931076995,73199.38226803232,
Net Quantity Produced,Line 32,1006537 B,0.87,68465.6728886465,73676.61554518345,
Net Quantity Produced,Line 32,1006537 B,0.88,68514.80646652305,74153.84882233459,
Net Quantity Produced,Line 32,1006537 B,0.89,68573.40059719962,74631.08209948572,
Net Quantity Produced,Line 32,1006537 B,0.9,68707.67915027654,75108.31537663685,
Net Quantity Produced,Line 32,1006537 B,0.91,68841.95770335344,75585.54865378798,
Net Quantity Produced,Line 32,1006537 B,0.92,68976.23625643038,76062.7819309391,
Net Quantity Produced,Line 32,1006537 B,0.93,69110.5148095073,76540.01520809023,
Net Quantity Produced,Line 32,1006537 B,0.94,69244.79336258418,77017.24848524136,
Net Quantity Produced,Line 32,1006537 B,0.95,69379.0719156611,77494.48176239249,
Net Quantity Produced,Line 32,1006537 B,0.96,69513.35046873803,77971.71503954363,
Net Quantity Produced,Line 32,1006537 B,0.97,69647.62902181492,78448.94831669476,
Net Quantity Produced,Line 32,1006537 B,0.98,69781.90757489184,78926.18159384589,
Net Quantity Produced,Line 32,1006537 B,0.99,69916.18612796876,79403.41487099702,
Net Quantity Produced,Line 32,1006537 B,1.0,70050.46468104568,79880.64814814815,
Net Quantity Produced,Line 32,1006537 C,0.5,593442.0,593442.0,593442.0
Net Quantity Produced,Line 32,1006537 C,0.51,593686.0171824762,596228.8318088475,609450.2255235205
Net Quantity Produced,Line 32,1006537 C,0.52,593740.2324491561,601752.6115920295,620301.4790895297
Net Quantity Produced,Line 32,1006537 C,0.53,593835.5562844421,605035.6241388588,656253.1980273142
Net Quantity Produced,Line 32,1006537 C,0.54,593897.4260914332,605662.9125537146,678595.0736267074
Net Quantity Produced,Line 32,1006537 C,0.55,593941.6565116836,606070.8185795797,687591.2581183612
Net Quantity Produced,Line 32,1006537 C,0.56,594036.7545874369,606568.0517692559,716176.7318968134
Net Quantity Produced,Line 32,1006537 C,0.57,594084.378784155,609232.0025697908,732557.1719271626
Net Quantity Produced,Line 32,1006537 C,0.58,594085.5295192307,611404.8526128052,745719.757511381
Net Quantity Produced,Line 32,1006537 C,0.59,594085.5295192307,612751.7604727169,753284.1168437026
Net Quantity Produced,Line 32,1006537 C,0.6,594085.5295192307,615252.5695306837,785432.6440060695
Net Quantity Produced,Line 32,1006537 C,0.61,594214.3710121644,618301.4816577267,831100.9626100153
Net Quantity Produced,Line 32,1006537 C,0.62,594529.6823239501,618574.4527652982,850816.3245523521
Net Quantity Produced,Line 32,1006537 C,0.63,594697.358076923,618777.9865681339,857759.3257966617
Net Quantity Produced,Line 32,1006537 C,0.64,594697.358076923,618928.2143349465,871738.381911988
Net Quantity Produced,Line 32,1006537 C,0.65,594697.358076923,618989.3239350058,876970.397116844
Net Quantity Produced,Line 32,1006537 C,0.66,594697.358076923,618989.3239350059,886326.7891957513
Net Quantity Produced,Line 32,1006537 C,0.67,594697.358076923,618989.3239350059,892537.3683459788
Net Quantity Produced,Line 32,1006537 C,0.68,594697.358076923,620153.5671775171,896676.7538694994
Net Quantity Produced,Line 32,1006537 C,0.69,594697.358076923,625877.7631198625,907789.1579362672
Net Quantity Produced,Line 32,1006537 C,0.7,594697.358076923,632511.7568199487,909133.93292868
